IP 地址           已发送  已接收  丢包率  平均延迟  下载速度(MB/s)  地区码  端口
172.67.64.157     4       4       0.00    94.92     6.48            HKG     443
104.26.4.177      4       4       0.00    92.97     6.25            HKG     443
172.67.79.217     4       4       0.00    94.60     6.19            HKG     443
104.20.28.251     4       4       0.00    93.94     6.08            HKG     443
104.20.26.71      4       4       0.00    94.81     5.79            HKG     443
104.26.15.85      4       4       0.00    94.93     5.67            HKG     443
172.67.74.193     4       4       0.00    94.50     5.22            HKG     443
104.26.9.139      4       4       0.00    94.40     4.96            HKG     443
104.20.22.252     4       4       0.00    94.43     4.18            HKG     443
104.20.21.216     4       4       0.00    94.67     2.49            HKG     443
